"Player","nfl_Season","nfl_Tm","nfl_Age","nfl_Pos","nfl_G","nfl_Rushing GS","nfl_Rushing Att","nfl_Rushing Yds","nfl_Rushing TD","nfl_Rushing Lng","nfl_Rushing Y/A","nfl_Rushing Y/G","nfl_Rushing Fmb","nfl_GS","nfl_Tgt","nfl_Rec","nfl_Ctch%","nfl_Yds","nfl_Y/R","nfl_TD","nfl_Lng","nfl_Y/Tgt","nfl_R/G","nfl_Y/G","nfl_Fmb","cfb_Season","cfb_School","cfb_Conf","cfb_Att","cfb_ReceivingAvg","cfb_Senior_G","cfb_Junior_G","cfb_Sophomore_G","cfb_Freshman_G","cfb_RS_Freshman_G","cfb_Senior_Att","cfb_Junior_Att","cfb_Sophomore_Att","cfb_Freshman_Att","cfb_RS_Freshman_Att","cfb_Senior_RushingYds","cfb_Junior_RushingYds","cfb_Sophomore_RushingYds","cfb_Freshman_RushingYds","cfb_RS_Freshman_RushingYds","cfb_Senior_RushingAvg","cfb_Junior_RushingAvg","cfb_Sophomore_RushingAvg","cfb_Freshman_RushingAvg","cfb_RS_Freshman_RushingAvg","cfb_Senior_RushingTD","cfb_Junior_RushingTD","cfb_Sophomore_RushingTD","cfb_Freshman_RushingTD","cfb_RS_Freshman_RushingTD","cfb_Senior_Rec","cfb_Junior_Rec","cfb_Sophomore_Rec","cfb_Freshman_Rec","cfb_RS_Freshman_Rec","cfb_Senior_ReceivingYds","cfb_Junior_ReceivingYds","cfb_Sophomore_ReceivingYds","cfb_Freshman_ReceivingYds","cfb_RS_Freshman_ReceivingYds","cfb_Senior_ReceivingTD","cfb_Junior_ReceivingTD","cfb_Sophomore_ReceivingTD","cfb_Freshman_ReceivingTD","cfb_RS_Freshman_ReceivingTD","cfb_Senior_ScrimmagePlays","cfb_Junior_ScrimmagePlays","cfb_Sophomore_ScrimmagePlays","cfb_Freshman_ScrimmagePlays","cfb_RS_Freshman_ScrimmagePlays","cfb_Senior_ScrimmageYds","cfb_Junior_ScrimmageYds","cfb_Sophomore_ScrimmageYds","cfb_Freshman_ScrimmageYds","cfb_RS_Freshman_ScrimmageYds","cfb_Senior_ScrimmageAvg","cfb_Junior_ScrimmageAvg","cfb_Sophomore_ScrimmageAvg","cfb_Freshman_ScrimmageAvg","cfb_RS_Freshman_ScrimmageAvg","cfb_Senior_ScrimmageTD","cfb_Junior_ScrimmageTD","cfb_Sophomore_ScrimmageTD","cfb_Freshman_ScrimmageTD","cfb_RS_Freshman_ScrimmageTD","combine_Year","combine_Pos","combine_Age","combine_AV","combine_School","combine_College","combine_Height","combine_Wt","combine_40YD","combine_Vertical","combine_BenchReps","combine_Broad Jump","combine_3Cone","combine_Shuttle","combine_Drafted (tm/rnd/yr)"
"A.J. Derby",2016,"2TM","25",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,"3","20","16","80.0%","160","10","0","17","8","1.6","16","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A.J. Green",2014,"CIN","26","WR","13","13","2","2","0","5","1","0.2","3","13","117","69","59.00%","1041","15.1","6","81","8.9","5.3","80.1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A.J. Jenkins",2014,"KAN","25","wr","9","2","2","-2","0","0","-1","-0.2","1","2","15","9","60.00%","93","10.3","0","27","6.2","1","10.3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A.J. McCarron",2015,"CIN","25","qb","7","3","14","31","0","16","2.2","4.4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"QB",23,3,"Alabama","College Stats","3-Jun",220,4.94,28,NA,99,7.18,4.34,"Cincinnati Bengals / 5th / 164th pick /<U+00A0>2014"
"Aaron Burbridge",2016,"SFO","23","wr","16",NA,NA,NA,NA,NA,NA,NA,NA,"3","16","7","43.8%","88","12.6","0","24","5.5","0.4","5.5","1",2015,"Michigan State","Big Ten","9","14.8","14","13","10",NA,NA,"9","8","1",NA,NA,"44","39","4",NA,NA,"4.9","4.9","4",NA,NA,"0","0","0",NA,NA,"85","29","29",NA,NA,"1258","358","364",NA,NA,"7","1","2",NA,NA,"94","37","30",NA,NA,"1302","397","368",NA,NA,"13.9","10.7","12.3",NA,NA,"7","1","2",NA,NA,2016,"WR",22,1,"Michigan St.","College Stats","Jun-00",206,4.56,30.5,20,115,7.22,4.31,"San Francisco 49ers / 6th / 213th pick /<U+00A0>2016"
"Aaron Dobson",2014,"NWE","23","wr","4",NA,NA,NA,NA,NA,NA,NA,NA,"1","5","3","60.00%","38","12.7","0","16","7.6","0.8","9.5","0",2012,"Marshall","CUSA",NA,"11.9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57",NA,NA,NA,NA,"679",NA,NA,NA,NA,"3",NA,NA,NA,NA,"57",NA,NA,NA,NA,"679",NA,NA,NA,NA,"11.9",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aaron Jones",2017,"GNB","23","rb","12","4","81","448","4","46","5.5","37.3","0","4","18","9","50.0%","22","2.4","0","9","1.2","0.8","1.8","0",2016,"UTEP","CUSA","229","8.3","12","12","9",NA,NA,"229","242","155",NA,NA,"1773","1321","811",NA,NA,"7.7","5.5","5.2",NA,NA,"17","11","4",NA,NA,"28","30","4",NA,NA,"233","293","14",NA,NA,"3","3","0",NA,NA,"257","272","159",NA,NA,"2006","1614","825",NA,NA,"7.8","5.9","5.2",NA,NA,"20","14","4",NA,NA,2017,"RB",22,9,"Texas-El Paso","College Stats","9-May",208,4.56,37.5,16,127,6.82,4.2,"Green Bay Packers / 5th / 182nd pick /<U+00A0>2017"
"Aaron Ripkowski",2015,"GNB","23",NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,"0","1","1","100.0%","18","18","0","18","18","0.1","1.2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aaron Rodgers",2014,"GNB","31","QB","16","16","43","269","2","19","6.3","16.8","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ace Sanders",2014,"JAX","23",NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,"0","7","6","85.70%","55","9.2","0","24","7.9","0.5","4.6","2",2012,"South Carolina","SEC","3","11.8","13",NA,NA,NA,NA,"3",NA,NA,NA,NA,"1",NA,NA,NA,NA,"0.3",NA,NA,NA,NA,"0",NA,NA,NA,NA,"45",NA,NA,NA,NA,"531",NA,NA,NA,NA,"9",NA,NA,NA,NA,"48",NA,NA,NA,NA,"532",NA,NA,NA,NA,"11.1",NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
